51.491148,-3.164046,157,"Treharris Street",Cardiff,Cardiff,,Cardiff,Wales,"CF24 3HQ","United Kingdom"
51.49587,-3.136352,54,"Page Drive",Cardiff,Cardiff,,Cardiff,Wales,"CF24 2TU","United Kingdom"
51.481262,-3.154408,9A,"Carlisle Street",Cardiff,Cardiff,,Cardiff,Wales,"CF24 2AY","United Kingdom"
51.488249,-3.151671,27,"Theodora Street",Cardiff,Cardiff,,Cardiff,Wales,"CF24 1PB","United Kingdom"
51.475283,-3.15629,,"Ocean Way",Cardiff,Cardiff,,Cardiff,Wales,CF24,"United Kingdom"
51.473501,-3.166364,36,Felbridge Close,Cardiff,Cardiff,,Cardiff,Wales,CF10 4BH,United Kingdom
51.480868,-3.179249,19,High Street Arcade,Cardiff,Cardiff,,Cardiff,Wales,CF10 1QR,United Kingdom
51.471163,-3.166644,21,Barquentine Place,Cardiff,Cardiff,,Cardiff,Wales,CF10 4NG,United Kingdom
51.474428,-3.172522,240,Bute Street,Cardiff,Cardiff,,Cardiff,Wales,CF10 5TY,United Kingdom
51.465743,-3.193635,220-228,Penarth Road,Cardiff,Cardiff,,Cardiff,Wales,CF11 8TA,United Kingdom
51.479349,-3.176824,9-11,The Hayes,Cardiff,Cardiff,,Cardiff,Wales,CF10 1AH,United Kingdom
51.466813,-3.167893,18,West Close,Cardiff,Cardiff,,Cardiff,Wales,CF10 5LD,United Kingdom
51.475058,-3.168027,2,Llansannor Drive,Cardiff,Cardiff,,Cardiff,Wales,CF10 4AW,United Kingdom
51.465743,-3.193635,220-228,Penarth Road,Cardiff,Cardiff,,Cardiff,Wales,CF11 8TA,United Kingdom
51.471189,-3.168235,19,South Mews,Cardiff,Cardiff,,Cardiff,Wales,CF10 4DR,United Kingdom
51.496507,-3.145088,153-155,Colchester Avenue,Cardiff,Cardiff,,Cardiff,Wales,CF23 9AN,United Kingdom
51.516381,-3.175575,5,Celyn Avenue,Cardiff,Cardiff,,Cardiff,Wales,CF23 6EH,United Kingdom
51.511628,-3.155263,87,Ael-Y-Bryn,Llanedeyrn,Cardiff,,Caerdydd,Cymru,CF23 9LL,United Kingdom
51.528748,-3.136085,,Caxton Place,Cardiff,Cardiff,,Cardiff,Wales,CF23,United Kingdom
51.514686,-3.180444,2A,Mountbatten Close,Cardiff,Cardiff,,Cardiff,Wales,CF23 5QH,United Kingdom
51.513173,-3.165618,19,Winnipeg Drive,Cardiff,Cardiff,,Cardiff,Wales,CF23 6ET,United Kingdom
51.526585,-3.152167,3,Llwyn Castan,Cardiff,Cardiff,,Cardiff,Wales,CF23 7DA,United Kingdom
51.503499,-3.167116,10,Arnside Road,Cardiff,Cardiff,,Cardiff,Wales,CF23 5LL,United Kingdom
51.507949,-3.171768,2A,Cefn-Coed Road,Cardiff,Cardiff,,Caerdydd,Cymru,CF23 6AQ,United Kingdom
51.502319,-3.117481,1,Spring Meadow Road,Rumney,Cardiff,,Cardiff,Wales,CF3 2ES,United Kingdom
51.531442,-3.143769,1,The Maltings,Pontprennau,Cardiff,,Cardiff,Wales,CF23 8EP,United Kingdom
51.516728,-3.152379,106,Brynfedw,Llanedeyrn,Cardiff,,Caerdydd,Cymru,CF23 9PR,United Kingdom
51.535856,-3.139726,42,Dungarvan Drive,Pontprennau,Cardiff,,Cardiff,Wales,CF23 8PY,United Kingdom
51.502409,-3.166459,,Langdale Close,Cardiff,Cardiff,,Cardiff,Wales,CF23,United Kingdom
51.521174,-3.160217,6,Saint Edeyrns Close,Cardiff,Cardiff,,Cardiff,Wales,CF23 6TH,United Kingdom
51.529405,-3.165317,23,Gwern-Rhuddi Road,Cardiff,Cardiff,,Cardiff,Wales,CF23 6PR,United Kingdom
51.496897,-3.152801,71,Doe Close,Cardiff,Cardiff,,Cardiff,Wales,CF23 9HJ,United Kingdom
51.530632,-3.165734,4,Hurford Place,Cardiff,Cardiff,,Cardiff,Wales,CF23 6RA,United Kingdom
51.536238,-3.140896,30,Kenmare Mews,Pontprennau,Cardiff,,Cardiff,Wales,CF23 8RG,United Kingdom
51.518904,-3.177449,48,Llandennis Road,Cardiff,Cardiff,,Cardiff,Wales,CF23 6EG,United Kingdom
51.530158,-3.192263,33,Newborough Avenue,Cardiff,Cardiff,,Cardiff,Wales,CF14 5BZ,United Kingdom
51.542239,-3.204186,67,Woodruff Way,Cardiff,Cardiff,,Cardiff,Wales,CF14 9FP,United Kingdom
51.536426,-3.175383,6,Longleat Close,Lisvane,Cardiff,,Cardiff,Wales,CF14 0ES,United Kingdom
51.52375,-3.238141,117,Whitworth Square,Cardiff,Cardiff,,Cardiff,Wales,CF14 7DP,United Kingdom
51.525205,-3.219319,8,Heol-Y-Coed,Cardiff,Cardiff,,Cardiff,Wales,CF14 6HT,United Kingdom
51.519274,-3.209496,182,Pantbach Road,Cardiff,Cardiff,,Cardiff,Wales,CF14 1UG,United Kingdom
51.537733,-3.18303,7,Millrace Close,Lisvane,Cardiff,,Cardiff,Wales,CF14 0UR,United Kingdom
51.508721,-3.221199,24,Erw Las,Cardiff,Cardiff,,Caerdydd,Cymru,CF14 1NL,United Kingdom
51.511721,-3.237412,,Ty-Mawr Road,Cardiff,Cardiff,,Cardiff,Wales,CF14 2HN,United Kingdom
51.536472,-3.188578,12,Copperfield Drive,Cardiff,Cardiff,,Cardiff,Wales,CF14 9DD,United Kingdom
51.449834,-3.17891,,Empire Way,Cardiff,Cardiff,,Cardiff,Wales,CF11 0JS,United Kingdom
51.465743,-3.193635,220-228,Penarth Road,Cardiff,Cardiff,,Cardiff,Wales,CF11 8TA,United Kingdom
51.465743,-3.193635,220-228,Penarth Road,Cardiff,Cardiff,,Cardiff,Wales,CF11 8TA,United Kingdom
51.47014,-3.164575,,Schooner Way,Cardiff,Cardiff,,Cardiff,Wales,CF10 4NH,United Kingdom
51.452717,-3.190143,58,Grangemoor Court,Cardiff,Cardiff,,Cardiff,Wales,CF11,United Kingdom
51.475296,-3.188258,8,Monmouth Street,Cardiff,Cardiff,,Cardiff,Wales,CF11 6SF,United Kingdom
51.470393,-3.186316,168-170,A4119,Cardiff,Cardiff,,Cardiff,Wales,CF11,United Kingdom
51.453424,-3.196902,7,Penarth Road,Llandough,Cardiff,,Vale of Glamorgan,Wales,CF11 8TW,United Kingdom
51.471176,-3.19051,67,North Clive Street,Cardiff,Cardiff,,Cardiff,Wales,CF11 6NS,United Kingdom
51.465743,-3.193635,220-228,Penarth Road,Cardiff,Cardiff,,Cardiff,Wales,CF11 8TA,United Kingdom
